Hilos,Tiempo_Medio_ms,Desviacion_ms
1,121.848,1.22079
2,66.7411,0.962793
3,49.1335,1.55482
4,40.7233,1.49851
5,35.7865,1.75253
6,32.4676,1.93042
7,30.5462,2.99003
8,30.2285,4.5099
9,33.0128,1.40569
10,31.7861,1.55054
11,31.4209,2.85027
12,29.5097,1.88635
13,28.7417,1.98767
14,28.1972,2.60076
15,26.7715,1.80926
16,26.5845,1.85286
