Hilos,Tiempo_Medio_ms,Desviacion_ms
1,77.4958,0.976133
2,43.932,1.19589
3,33.1606,2.01012
4,28.8013,2.75204
5,25.3215,1.48997
6,23.6181,1.54739
7,23.144,2.61876
8,25.5176,3.30777
9,25.0744,1.91875
10,24.0562,1.72719
11,22.861,1.20422
12,22.5091,1.55441
13,20.6372,1.35373
14,20.0483,0.906743
15,20.3156,1.20886
16,29.4364,10.3601
